                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.37633,                 0.0438,                 0.0423,                0.28252,                0.91209,                0.99807,                      1,                  0.995,                0.96566,                0.99807,                      1,                  0.995,                  0.995,                0.27933,                0.02187,                0.00369,                0.20981,                0.88437,              0.0012773,              0.0012773,              0.0012773
                     76,                0.35727,                0.03811,                0.04763,                0.28198,                0.88282,                0.99826,                      1,                  0.995,                0.98601,                0.99826,                      1,                  0.995,                  0.995,                0.32335,                 0.0104,                0.00748,                 0.2731,                 0.8826,              0.0012674,              0.0012674,              0.0012674
                     77,                0.35772,                 0.0292,                0.04587,                0.28822,                0.87692,                      1,                      1,                  0.995,                0.95635,                      1,                      1,                  0.995,                  0.995,                0.40444,                0.01689,                 0.0102,                0.28977,                0.88777,              0.0012575,              0.0012575,              0.0012575
                     78,                0.35992,                0.02993,                 0.0418,                0.28043,                0.88795,                 0.9982,                      1,                  0.995,                0.93012,                 0.9982,                      1,                  0.995,                  0.995,                0.33553,                0.02499,                0.02979,                0.25688,                 0.8821,              0.0012476,              0.0012476,              0.0012476
                     79,                0.36284,                0.03829,                0.04075,                0.28135,                0.89263,                 0.9969,                      1,                  0.995,                0.96251,                 0.9969,                      1,                  0.995,                  0.995,                0.30412,                0.01144,                0.02681,                0.21356,                0.88004,              0.0012377,              0.0012377,              0.0012377
                     80,                0.40081,                0.03933,                0.04047,                0.30075,                 0.9038,                      1,                      1,                  0.995,                0.96979,                      1,                      1,                  0.995,                  0.995,                0.34159,                0.00803,                0.00239,                0.26391,                0.87984,              0.0012278,              0.0012278,              0.0012278
                     81,                0.37331,                0.04892,                0.03293,                 0.2872,                0.89696,                      1,                      1,                  0.995,                0.95718,                      1,                      1,                  0.995,                  0.995,                 0.3495,                0.02041,                0.00419,                0.20351,                0.89132,              0.0012179,              0.0012179,              0.0012179
                     82,                0.35556,                0.05558,                 0.0605,                0.27442,                0.88453,                      1,                      1,                  0.995,                0.97263,                      1,                      1,                  0.995,                  0.995,                 0.3063,                0.01495,                0.00117,                0.22551,                0.87821,               0.001208,               0.001208,               0.001208
                     83,                 0.3352,                0.03134,                0.02977,                0.27724,                0.89185,                0.99823,                      1,                  0.995,                 0.9548,                0.99823,                      1,                  0.995,                  0.995,                0.33179,                 0.0225,                0.00172,                0.22929,                0.88524,              0.0011981,              0.0011981,              0.0011981
                     84,                0.38127,                0.04116,                0.03482,                0.28532,                0.90043,                0.99825,                      1,                  0.995,                0.96828,                0.99825,                      1,                  0.995,                  0.995,                0.27903,                0.00878,                0.01123,                0.22326,                0.87596,              0.0011882,              0.0011882,              0.0011882
                     85,                0.36913,                0.04154,                0.04136,                 0.2882,                 0.8956,                      1,                      1,                  0.995,                0.97771,                      1,                      1,                  0.995,                  0.995,                0.28341,                0.01088,                0.02252,                0.23611,                0.87121,              0.0011783,              0.0011783,              0.0011783
                     86,                0.35119,                0.02718,                0.04443,                0.27109,                0.89049,                      1,                      1,                  0.995,                0.97125,                      1,                      1,                  0.995,                  0.995,                0.32787,                0.01844,                0.00761,                0.25911,                0.88228,              0.0011684,              0.0011684,              0.0011684
                     87,                0.33479,                0.04267,                0.04239,                 0.2687,                0.88333,                      1,                      1,                  0.995,                0.98271,                      1,                      1,                  0.995,                  0.995,                0.30347,                0.01575,                0.00565,                0.20232,                0.87845,              0.0011585,              0.0011585,              0.0011585
                     88,                0.37332,                0.02339,                0.03457,                0.28298,                0.89546,                      1,                      1,                  0.995,                0.95739,                      1,                      1,                  0.995,                  0.995,                0.35466,                0.02124,                0.00253,                0.26931,                 0.8845,              0.0011486,              0.0011486,              0.0011486
                     89,                 0.3436,                0.03249,                0.05906,                0.26953,                0.88664,                      1,                      1,                  0.995,                0.97638,                      1,                      1,                  0.995,                  0.995,                 0.2603,                0.01726,                0.00189,                0.25381,                0.87329,              0.0011387,              0.0011387,              0.0011387
                     90,                0.34717,                0.03106,                0.03123,                0.26753,                0.88869,                      1,                      1,                  0.995,                0.97427,                      1,                      1,                  0.995,                  0.995,                0.25847,                0.00715,                0.00269,                0.19461,                0.87506,              0.0011288,              0.0011288,              0.0011288
